addr,key,name
南院地址： 天津市河东区韶山道36号 北院地址：天津市河东区学堂大街83号,重点,天津市河东区实验小学
天津市红桥区丁字沽三号路与白酒厂大道交口,重点,天津市红桥实验小学
天津市和平区保定道59号,重点,天津市耀华小学
天津市南开区南丰路7号,重点,天津市南开区东方小学
天津市和平区常德道30号,重点,天津市逸阳梅江湾国际学校
天津市河西区洪泽东路,重点,天津小学
天津市河东区万辛庄大街198号,重点,天津市河东区万辛庄小学
天津市河北区昆纬路东三经路64号,重点,天津市河北区昆纬路第一小学（昆纬路一小）
天津市红桥区小西关乐安里3号,重点,天津市红桥区中心小学
天津市河西区平山道西口,重点,天津师范大学附属小学（师大附小）
天津市河东区万新村盘山道21区,重点,天津市河东区盘山道小学
天津市和平区新兴街道西康路31号,重点,天津市和平区西康路小学
天津市河北区新大路169号,重点,天津市河北区第二实验小学
天津市河西区马场道199号,重点,天津市河西区马场道小学
天津市南开区南丰路义兴里140号,重点,天津市南开区义兴里小学
天津市河西区围堤道85号,重点,天津市华夏未来艺术小学
蓟县侯家营镇西桥头村东,普通,蓟县西桥头中心小学
天津市河东区大直沽九号路16号,普通,天津市河东区崇德里小学
天津市津南区咸水沽镇北洋村,普通,津南区北洋码头联合小学
天津市南开区黄河道冶金路2号,普通,天津市南开区冶金里小学
天津市河西区泰山路2号,重点,天津师范大学第二附属小学（师大二附小）
天津市河东区八玮北路1号,重点,天津市河东区街坊小学
天津市河东区八纬路28号,重点,天津市河东区第一中心小学（天津市一中心）
蓟县许家台乡新房子村,普通,蓟县许家台乡田家峪中心小学
天津市宝坻区大白庄镇八道沽村,普通,天津市八道沽中心小学
天津市西青区上辛口乡第六埠村,普通,天津市西青区第六埠小学
宁河县宁河镇北岳庄村,普通,宁河县宁河镇北岳庄小学
天津经济技术开发区第六大街67号,普通,天津开发区第三小学
邦均镇沿河村南,普通,邦均镇第六中心小学
天津市和平区武昌路22号,重点,天津市岳阳道小学
天津市和平区柳州路28号,重点,天津市实验小学
天津市和平区鞍山道81号,重点,天津市鞍山道小学
天津市河西区闽侯路1号,重点,天津市河西区闽侯路小学
天津市宝坻区新开口镇王家口村西,重点,新开口镇第一中心小学
天津市红桥区五爱道30号,重点,天津市红桥区工人新村小学
